model,parameter,coefficient,clustered_se,z,p_value
full,B_age_65plus_WALK,0.19584941938687742,0.07288748908586258,2.6870101006794704,0.007209477258629568
full,B_student_WALK,0.5786097931447964,0.10978519116209179,5.270381068886704,1.3614081584282136e-07
full,B_edu_higher_medium_WALK,0.8421626055935064,0.062088856193752685,13.563828635616643,6.561956718614515e-42
full,B_edu_primary_WALK,0.28308600608108636,0.11873951120631913,2.3840927354770933,0.017121287267455317
full,B_edu_other_WALK,0.33769047995519424,0.07724160863613085,4.371872698120308,1.2318534792046928e-05
full,ASC_BUS,1.2103657829270928,0.35377806831566283,3.4212572551194134,0.0006233234115307634
full,B_winter_BUS,0.13290676102372842,0.1371467033841945,0.9690846206591743,0.33250297037944443
full,B_distance_km_BUS,-0.03012847509754587,0.006902375698880213,-4.364942798235928,1.2715602822712439e-05
full,B_female_BUS,1.1050141258301902,0.09645616960863505,11.456126967447668,2.1909488104167227e-30
full,B_female_winter_BUS,0.6517730959144861,0.1894370699736165,3.4405784253592,0.0005804721860908341
full,B_purpose_work_education_BUS,0.671555019176565,0.22280281668569976,3.0141226631075515,0.0025772358244853023
full,B_purpose_shopping_errands_BUS,-1.0013018326375815,0.25274940490277203,-3.9616387347094393,7.443710984857625e-05
full,B_purpose_leisure_social_BUS,0.1680388250041259,0.24543045804086244,0.6846698097110205,0.49355230409987594
full,B_weekday_BUS,-0.09265966407759052,0.024424040521158114,-3.7937893198842794,0.00014836557301062646
full,B_morning_peak_BUS,0.7375632787440679,0.1218306537203905,6.054004113257284,1.4128899986005916e-09
full,B_afternoon_peak_BUS,0.3860491904895024,0.13730817166285603,2.8115529164382185,0.00493029801819324
full,B_car_access_BUS,-2.6916598299989545,0.16718043453545853,-16.100327992795474,2.5375586472869517e-58
full,B_bike_access_BUS,-0.4009324318045933,0.16139741372172592,-2.484131700498391,0.01298677680857993
full,B_age_16_24_BUS,-0.5871245763902531,0.13806708300353357,-4.252458758582064,2.114361636227827e-05
full,B_age_45_64_BUS,-0.40981085373977477,0.10145077649837099,-4.039504357528059,5.356427290872204e-05
full,B_age_65plus_BUS,0.15005889529888494,0.11106587196787217,1.3510801530671115,0.1766697583510698
full,B_student_BUS,0.6161392094662343,0.1404268768837339,4.3876159830597485,1.145998846455653e-05
full,B_edu_higher_medium_BUS,-0.46352825701751377,0.10908353924437983,-4.249296092044387,2.1444331187101584e-05
full,B_edu_primary_BUS,-0.431495649543553,0.17263624592062982,-2.499449911242479,0.012438628158795177
full,B_edu_other_BUS,-0.19020555356632987,0.13627173056890787,-1.39578144911097,0.16278031833126028
